transaction_id,items,basket_size
id_0000,"['citrus_fruit', 'semi-finished_bread', 'margarine', 'ready_soups']",4
id_0001,"['tropical_fruit', 'yogurt', 'coffee']",3
id_0003,"['pip_fruit', 'yogurt', 'cream_cheese', 'meat_spreads']",4
id_0004,"['other_vegetables', 'whole_milk', 'condensed_milk', 'long_life_bakery_product']",4
id_0007,"['whole_milk', 'cereals']",2
id_0009,"['frankfurter', 'rolls/buns', 'soda']",3
id_0010,"['chicken', 'tropical_fruit']",2
id_0011,"['butter', 'sugar', 'fruit/vegetable_juice', 'newspapers']",4
id_0017,"['butter_milk', 'pastry']",2
id_0021,"['yogurt', 'beverages', 'bottled_water', 'specialty_bar']",4
id_0022,"['beef', 'grapes', 'detergent']",3
id_0023,"['pastry', 'soda']",2
id_0025,"['root_vegetables', 'other_vegetables', 'whole_milk', 'dessert']",4
id_0026,"['citrus_fruit', 'zwieback', 'newspapers']",3
id_0027,"['berries', 'yogurt']",2
id_0029,"['pastry', 'bottled_water']",2
id_0032,"['whole_milk', 'curd', 'yogurt', 'pastry']",4
id_0033,"['rolls/buns', 'pastry', 'sugar']",3
id_0034,"['rolls/buns', 'pastry', 'soda']",3
id_0036,"['curd_cheese', 'coffee']",2
id_0037,"['whole_milk', 'meat_spreads', 'soda']",3
id_0039,"['other_vegetables', 'whole_milk', 'rolls/buns', 'sugar']",4
id_0040,"['frozen_meals', 'coffee']",2
id_0042,"['root_vegetables', 'onions', 'hard_cheese', 'frozen_vegetables']",4
id_0044,"['coffee', 'newspapers']",2
id_0045,"['berries', 'yogurt']",2
id_0048,"['fruit/vegetable_juice', 'salty_snack', 'candles']",3
id_0049,"['citrus_fruit', 'butter_milk', 'yogurt', 'cream_cheese']",4
id_0051,"['grapes', 'photo/film']",2
id_0052,"['whole_milk', 'yogurt', 'brown_bread']",3
id_0053,"['citrus_fruit', 'tropical_fruit']",2
id_0054,"['soda', 'misc_beverages']",2
id_0055,"['frankfurter', 'rolls/buns', 'bottled_water']",3
id_0057,"['rolls/buns', 'fruit/vegetable_juice']",2
id_0059,"['tropical_fruit', 'pip_fruit']",2
id_0060,"['packaged_fruit/vegetables', 'bottled_water']",2
id_0061,"['berries', 'whipped/sour_cream']",2
id_0062,"['citrus_fruit', 'berries', 'uht-milk', 'processed_cheese']",4
id_0063,"['tropical_fruit', 'whole_milk', 'yogurt']",3
id_0064,"['whole_milk', 'cream_cheese', 'soda']",3
id_0065,"['pastry', 'soda']",2
id_0069,"['frankfurter', 'dessert']",2
id_0071,"['berries', 'soda']",2
id_0072,"['tropical_fruit', 'other_vegetables', 'coffee']",3
